song,artist,previous_date,reentry_date,gap_days,previous_position,reentry_position,gap_strength,position_strength,momentum_score
"How can I love the heartbreak, you're the one I love",AKMU,2025-11-16,2025-11-18,2.0,48,49,0.003937007874015748,0.04,0.00015748031496062991
Who (Instrumental),Jimin,2025-11-16,2025-11-18,2.0,40,50,0.003937007874015748,0.02,7.874015748031496e-05
Do or Die,Lim Young Woong,2025-11-16,2025-11-19,3.0,47,46,0.005905511811023622,0.1,0.0005905511811023622
Drowning,WOODZ,2025-11-17,2025-11-19,2.0,49,49,0.003937007874015748,0.04,0.00015748031496062991
London Boy,Lim Young Woong,2025-11-16,2025-11-19,3.0,50,50,0.005905511811023622,0.02,0.00011811023622047244
Who (Beautiful Mind Remix),Jimin,2025-11-16,2025-11-20,4.0,41,45,0.007874015748031496,0.12,0.0009448818897637794
Who (Funky Remix),Jimin,2025-11-17,2025-11-20,3.0,50,46,0.005905511811023622,0.1,0.0005905511811023622
Who (Instrumental),Jimin,2025-11-18,2025-11-20,2.0,50,44,0.003937007874015748,0.14,0.0005511811023622047
Who (Shibuyakei Remix),Jimin,2025-11-18,2025-11-20,2.0,48,41,0.003937007874015748,0.2,0.0007874015748031496
Armageddon,aespa,2025-11-19,2025-11-21,2.0,41,50,0.003937007874015748,0.02,7.874015748031496e-05
Welcome to the Show,DAY6,2025-11-19,2025-11-21,2.0,38,47,0.003937007874015748,0.08,0.00031496062992125983
CRAZY,LE SSERAFIM,2025-11-20,2025-11-22,2.0,39,45,0.003937007874015748,0.12,0.0004724409448818897
Drowning,WOODZ,2025-11-19,2025-11-22,3.0,49,49,0.005905511811023622,0.04,0.00023622047244094488
I will come to you,Jin,2025-11-21,2025-11-23,2.0,37,47,0.003937007874015748,0.08,0.00031496062992125983
You Were Beautiful,DAY6,2025-11-20,2025-11-23,3.0,48,46,0.005905511811023622,0.1,0.0005905511811023622
You Were Beautiful,DAY6,2025-11-23,2025-11-26,3.0,46,48,0.005905511811023622,0.06,0.0003543307086614173
CROOKED,G-DRAGON,2025-11-10,2025-11-27,17.0,50,47,0.03346456692913386,0.08,0.002677165354330709
Tick-Tack,ILLIT,2025-11-24,2025-11-27,3.0,49,50,0.005905511811023622,0.02,0.00011811023622047244
"무제(無題) (Untitled, 2014)",G-DRAGON,2025-11-05,2025-11-27,22.0,50,43,0.04330708661417323,0.16,0.006929133858267717
